device: cuda
torch: 2.7.1
args: {
  "augment_mode": "batch",
  "batch_size": 1536,
  "call_label_bonus": 1.8,
  "call_opportunity_bonus": 0.35,
  "call_pass_bonus": 0.9,
  "distill_coef": 0.35,
  "distill_temp": 2.0,
  "epochs": 4,
  "init_ckpt": "model/checkpoint/v6_refine2_095/mahjong_v6_best.pkl",
  "legacy_save": true,
  "lr": 5e-05,
  "model_module": "model_v6",
  "out_dir": "model/checkpoint/v7_calibrated_095",
  "reward_dir": "data_reward_v5",
  "reward_scale": 64.0,
  "save_prefix": "mahjong_v7_calibrated",
  "seed": 2026,
  "teacher_ckpt": "model/checkpoint/v6_refine2_095/mahjong_v6_best.pkl",
  "teacher_module": "model_v6",
  "train_end": 0.95,
  "type_coef": 0.08,
  "val_begin": 0.95,
  "val_end": 1.0,
  "value_coef": 0.04
}
loading 0
loading 128
loading 256
loading 384
loading 512
loading 640
loading 768
loading 896
loading 1024
loading 1152
loading 1280
loading 1408
loading 1536
loading 1664
loading 1792
loading 1920
loading 2048
loading 2176
loading 2304
loading 2432
loading 2560
loading 2688
loading 2816
loading 2944
loading 3072
loading 3200
loading 3328
loading 3456
loading 3584
loading 3712
loading 3840
loading 3968
loading 4096
loading 4224
loading 4352
loading 4480
loading 4608
loading 4736
loading 4864
loading 4992
loading 5120
loading 5248
loading 5376
loading 5504
loading 5632
loading 5760
loading 5888
loading 6016
loading 6144
loading 6272
loading 6400
loading 6528
loading 6656
loading 6784
loading 6912
loading 7040
loading 7168
loading 7296
loading 7424
loading 7552
loading 7680
loading 7808
loading 7936
loading 8064
loading 8192
loading 8320
loading 8448
loading 8576
loading 8704
loading 8832
loading 8960
loading 9088
loading 9216
loading 9344
loading 9472
loading 9600
loading 9728
loading 9856
loading 9984
loading 10112
loading 10240
loading 10368
loading 10496
loading 10624
loading 10752
loading 10880
loading 11008
loading 11136
loading 11264
loading 11392
loading 11520
loading 11648
loading 11776
loading 11904
loading 12032
loading 12160
loading 12288
loading 12416
loading 12544
loading 12672
loading 12800
loading 12928
loading 13056
loading 13184
loading 13312
loading 13440
loading 13568
loading 13696
loading 13824
loading 13952
loading 14080
loading 14208
loading 14336
loading 14464
loading 14592
loading 14720
loading 14848
loading 14976
loading 15104
loading 15232
loading 15360
loading 15488
loading 15616
loading 15744
loading 15872
loading 16000
loading 16128
loading 16256
loading 16384
loading 16512
loading 16640
loading 16768
loading 16896
loading 17024
loading 17152
loading 17280
loading 17408
loading 17536
loading 17664
loading 17792
loading 17920
loading 18048
loading 18176
loading 18304
loading 18432
loading 18560
loading 18688
loading 18816
loading 18944
loading 19072
loading 19200
loading 19328
loading 19456
loading 19584
loading 19712
loading 19840
loading 19968
loading 20096
loading 20224
loading 20352
loading 20480
loading 20608
loading 20736
loading 20864
loading 20992
loading 21120
loading 21248
loading 21376
loading 21504
loading 21632
loading 21760
loading 21888
loading 22016
loading 22144
loading 22272
loading 22400
loading 22528
loading 22656
loading 22784
loading 22912
loading 23040
loading 23168
loading 23296
loading 23424
loading 23552
loading 23680
loading 23808
loading 23936
loading 24064
loading 24192
loading 24320
loading 24448
loading 24576
loading 24704
loading 24832
loading 24960
loading 25088
loading 25216
loading 25344
loading 25472
loading 25600
loading 25728
loading 25856
loading 25984
loading 26112
loading 26240
loading 26368
loading 26496
loading 26624
loading 26752
loading 26880
loading 27008
loading 27136
loading 27264
loading 27392
loading 27520
loading 27648
loading 27776
loading 27904
loading 28032
loading 28160
loading 28288
loading 28416
loading 28544
loading 28672
loading 28800
loading 28928
loading 29056
loading 29184
loading 29312
loading 29440
loading 29568
loading 29696
loading 29824
loading 29952
loading 30080
loading 30208
loading 30336
loading 30464
loading 30592
loading 30720
loading 30848
loading 30976
loading 31104
loading 31232
loading 31360
loading 31488
loading 31616
loading 31744
loading 31872
loading 32000
loading 32128
loading 32256
loading 32384
loading 32512
loading 32640
loading 32768
loading 32896
loading 33024
loading 33152
loading 33280
loading 33408
loading 33536
loading 33664
loading 33792
loading 33920
loading 34048
loading 34176
loading 34304
loading 34432
loading 34560
loading 34688
loading 34816
loading 34944
loading 35072
loading 35200
loading 35328
loading 35456
loading 35584
loading 35712
loading 35840
loading 35968
loading 36096
loading 36224
loading 36352
loading 36480
loading 36608
loading 36736
loading 36864
loading 36992
loading 37120
loading 37248
loading 37376
loading 37504
loading 37632
loading 37760
loading 37888
loading 38016
loading 38144
loading 38272
loading 38400
loading 38528
loading 38656
loading 38784
loading 38912
loading 39040
loading 39168
loading 39296
loading 39424
loading 39552
loading 39680
loading 39808
loading 39936
loading 40064
loading 40192
loading 40320
loading 40448
loading 40576
loading 40704
loading 40832
loading 40960
loading 41088
loading 41216
loading 41344
loading 41472
loading 41600
loading 41728
loading 41856
loading 41984
loading 42112
loading 42240
loading 42368
loading 42496
loading 42624
loading 42752
loading 42880
loading 43008
loading 43136
loading 43264
loading 43392
loading 43520
loading 43648
loading 43776
loading 43904
loading 44032
loading 44160
loading 44288
loading 44416
loading 44544
loading 44672
loading 44800
loading 44928
loading 45056
loading 45184
loading 45312
loading 45440
loading 45568
loading 45696
loading 45824
loading 45952
loading 46080
loading 46208
loading 46336
loading 46464
loading 46592
loading 46720
loading 46848
loading 46976
loading 47104
loading 47232
loading 47360
loading 47488
loading 47616
loading 47744
loading 47872
loading 48000
loading 48128
loading 48256
loading 48384
loading 48512
loading 48640
loading 48768
loading 48896
loading 49024
loading 49152
loading 49280
loading 49408
loading 49536
loading 49664
loading 49792
loading 49920
loading 50048
loading 50176
loading 50304
loading 50432
loading 50560
loading 50688
loading 50816
loading 50944
loading 51072
loading 51200
loading 51328
loading 51456
loading 51584
loading 51712
loading 51840
loading 51968
loading 52096
loading 52224
loading 52352
loading 52480
loading 52608
loading 52736
loading 52864
loading 52992
loading 53120
loading 53248
loading 53376
loading 53504
loading 53632
loading 53760
loading 53888
loading 54016
loading 54144
loading 54272
loading 54400
loading 54528
loading 54656
loading 54784
loading 54912
loading 55040
loading 55168
loading 55296
loading 55424
loading 55552
loading 55680
loading 55808
loading 55936
loading 56064
loading 56192
loading 56320
loading 56448
loading 56576
loading 56704
loading 56832
loading 56960
loading 57088
loading 57216
loading 57344
loading 57472
loading 57600
loading 57728
loading 57856
loading 57984
loading 58112
loading 58240
loading 58368
loading 58496
loading 58624
loading 58752
loading 58880
loading 59008
loading 59136
loading 59264
loading 59392
loading 59520
loading 59648
loading 59776
loading 59904
loading 60032
loading 60160
loading 60288
loading 60416
loading 60544
loading 60672
loading 60800
loading 60928
loading 61056
loading 61184
loading 61312
loading 61440
loading 61568
loading 61696
loading 61824
loading 61952
loading 62080
loading 62208
loading 62336
loading 62464
loading 62592
loading 62720
loading 62848
loading 62976
loading 63104
loading 63232
loading 63360
loading 63488
loading 63616
loading 63744
loading 63872
loading 64000
loading 64128
loading 64256
loading 64384
loading 64512
loading 64640
loading 64768
loading 64896
loading 65024
loading 65152
loading 65280
loading 65408
loading 65536
loading 65664
loading 65792
loading 65920
loading 66048
loading 66176
loading 66304
loading 66432
loading 66560
loading 66688
loading 66816
loading 66944
loading 67072
loading 67200
loading 67328
loading 67456
loading 67584
loading 67712
loading 67840
loading 67968
loading 68096
loading 68224
loading 68352
loading 68480
loading 68608
loading 68736
loading 68864
loading 68992
loading 69120
loading 69248
loading 69376
loading 69504
loading 69632
loading 69760
loading 69888
loading 70016
loading 70144
loading 70272
loading 70400
loading 70528
loading 70656
loading 70784
loading 70912
loading 71040
loading 71168
loading 71296
loading 71424
loading 71552
loading 71680
loading 71808
loading 71936
loading 72064
loading 72192
loading 72320
loading 72448
loading 72576
loading 72704
loading 72832
loading 72960
loading 73088
loading 73216
loading 73344
loading 73472
loading 73600
loading 73728
loading 73856
loading 73984
loading 74112
loading 74240
loading 74368
loading 74496
loading 74624
loading 74752
loading 74880
loading 75008
loading 75136
loading 75264
loading 75392
loading 75520
loading 75648
loading 75776
loading 75904
loading 76032
loading 76160
loading 76288
loading 76416
loading 76544
loading 76672
loading 76800
loading 76928
loading 77056
loading 77184
loading 77312
loading 77440
loading 77568
loading 77696
loading 77824
loading 77952
loading 78080
loading 78208
loading 78336
loading 78464
loading 78592
loading 78720
loading 78848
loading 78976
loading 79104
loading 79232
loading 79360
loading 79488
loading 79616
loading 79744
loading 79872
loading 80000
loading 80128
loading 80256
loading 80384
loading 80512
loading 80640
loading 80768
loading 80896
loading 81024
loading 81152
loading 81280
loading 81408
loading 81536
loading 81664
loading 81792
loading 81920
loading 82048
loading 82176
loading 82304
loading 82432
loading 82560
loading 82688
loading 82816
loading 82944
loading 83072
loading 83200
loading 83328
loading 83456
loading 83584
loading 83712
loading 83840
loading 83968
loading 84096
loading 84224
loading 84352
loading 84480
loading 84608
loading 84736
loading 84864
loading 84992
loading 85120
loading 85248
loading 85376
loading 85504
loading 85632
loading 85760
loading 85888
loading 86016
loading 86144
loading 86272
loading 86400
loading 86528
loading 86656
loading 86784
loading 86912
loading 87040
loading 87168
loading 87296
loading 87424
loading 87552
loading 87680
loading 87808
loading 87936
loading 88064
loading 88192
loading 88320
loading 88448
loading 88576
loading 88704
loading 88832
loading 88960
loading 89088
loading 89216
loading 89344
loading 89472
loading 89600
loading 89728
loading 89856
loading 89984
loading 90112
loading 90240
loading 90368
loading 90496
loading 90624
loading 90752
loading 90880
loading 91008
loading 91136
loading 91264
loading 91392
loading 91520
loading 91648
loading 91776
loading 91904
loading 92032
loading 92160
loading 92288
loading 92416
loading 92544
loading 92672
loading 92800
loading 92928
loading 93056
loading 93184
loading 0
loading 128
loading 256
loading 384
loading 512
loading 640
loading 768
loading 896
loading 1024
loading 1152
loading 1280
loading 1408
loading 1536
loading 1664
loading 1792
loading 1920
loading 2048
loading 2176
loading 2304
loading 2432
loading 2560
loading 2688
loading 2816
loading 2944
loading 3072
loading 3200
loading 3328
loading 3456
loading 3584
loading 3712
loading 3840
loading 3968
loading 4096
loading 4224
loading 4352
loading 4480
loading 4608
loading 4736
loading 4864
train samples: 5570389
val samples: 295427
epoch=0 iter=0/3627 loss=0.2722 policy=0.2484 distill=0.0326 type=0.0663 value=0.1780 call_opp_batch=332 call_label_batch=113
epoch=0 iter=50/3627 loss=0.2671 policy=0.2381 distill=0.0446 type=0.0735 value=0.1867 call_opp_batch=306 call_label_batch=119
epoch=0 iter=100/3627 loss=0.2664 policy=0.2379 distill=0.0428 type=0.0777 value=0.1806 call_opp_batch=301 call_label_batch=98
epoch=0 iter=150/3627 loss=0.2601 policy=0.2341 distill=0.0428 type=0.0476 value=0.1792 call_opp_batch=306 call_label_batch=111
epoch=0 iter=200/3627 loss=0.2608 policy=0.2303 distill=0.0475 type=0.0865 value=0.1745 call_opp_batch=332 call_label_batch=135
epoch=0 iter=250/3627 loss=0.2656 policy=0.2371 distill=0.0410 type=0.0901 value=0.1744 call_opp_batch=330 call_label_batch=103
epoch=0 iter=300/3627 loss=0.2630 policy=0.2343 distill=0.0454 type=0.0707 value=0.1788 call_opp_batch=313 call_label_batch=118
epoch=0 iter=350/3627 loss=0.2848 policy=0.2544 distill=0.0445 type=0.0895 value=0.1925 call_opp_batch=302 call_label_batch=104
epoch=0 iter=400/3627 loss=0.2811 policy=0.2514 distill=0.0464 type=0.0857 value=0.1650 call_opp_batch=346 call_label_batch=126
epoch=0 iter=450/3627 loss=0.2519 policy=0.2223 distill=0.0438 type=0.0896 value=0.1774 call_opp_batch=332 call_label_batch=106
epoch=0 iter=500/3627 loss=0.2859 policy=0.2561 distill=0.0491 type=0.0680 value=0.1806 call_opp_batch=281 call_label_batch=75
epoch=0 iter=550/3627 loss=0.2604 policy=0.2317 distill=0.0466 type=0.0636 value=0.1813 call_opp_batch=297 call_label_batch=106
epoch=0 iter=600/3627 loss=0.2753 policy=0.2459 distill=0.0463 type=0.0783 value=0.1752 call_opp_batch=296 call_label_batch=105
epoch=0 iter=650/3627 loss=0.2596 policy=0.2313 distill=0.0453 type=0.0691 value=0.1742 call_opp_batch=312 call_label_batch=115
epoch=0 iter=700/3627 loss=0.2429 policy=0.2146 distill=0.0456 type=0.0620 value=0.1847 call_opp_batch=300 call_label_batch=118
epoch=0 iter=750/3627 loss=0.2440 policy=0.2139 distill=0.0522 type=0.0628 value=0.1699 call_opp_batch=333 call_label_batch=128
epoch=0 iter=800/3627 loss=0.2527 policy=0.2244 distill=0.0436 type=0.0726 value=0.1822 call_opp_batch=298 call_label_batch=100
epoch=0 iter=850/3627 loss=0.2650 policy=0.2354 distill=0.0460 type=0.0795 value=0.1766 call_opp_batch=351 call_label_batch=136
